,Honolua,Kahekili,Kanahena Bay,Kanahena Pt.,Maalaea,Mahinahina,Molokini,Olowalu,Papaula Pt.,Puamana
1999,0.938204748,1.985368498,0.198172269,0.003125,0.943442513,,,6.890402033,2.002280702,0.081336156
2000,1.14452381,,,,,,15.12535539,6.561887255,1.985185185,0.230218254
2001,1.274496845,1.333333333,0.36,0.053333333,0.350952381,,13.10333333,5.976666667,1.923333333,0.285891813
2002,1.357230392,1.558970588,0.47991225,0.145763889,0.341237745,,14.99916667,6.895053105,2.128582516,0.366564542
2003,1.536190476,3.426666667,2.16,0.44,,,37.27518207,13.52,4.236507937,0.16
2004,2.221818182,4.244242424,2.264015984,1.584545455,0.969090909,6.453333333,34.44242424,13.55454545,4.386363636,0.172727273
2005,1.84,3.4,3.36,0.724848485,0.2,,39.49555556,13.14444444,,0
2006,1.44,6.32,2.36,0.14,0.04,12.3768254,40.41414141,14.64,4.18,0.02
2007,0.988787879,4.777575758,2.154764125,0.06,0.076363636,7.419090909,39.53373737,14.35090909,4.34,0
2008,1.783333333,5.531515152,2.567626263,0.04,0.02,9.785252525,41.12545455,13.6056488,1.865454545,0.278181818
2009,0.802470862,5.675959596,,0.054545455,0,6.922640693,41.26899767,12.21818182,1.31030303,0.167272727
2010,1.129393939,5.193030303,1.777272727,0.076363636,0,8.4,40.93030303,13.22540793,1.046926407,0.162121212
2011,0.582121212,5.005454545,2.518080808,0.139393939,0,7.787878788,37.40545455,11.84918415,0.832727273,0.149090909
2012,1.102323232,5.3,2.455011655,0.129090909,0,7.764545455,35.15773893,10.61295815,0.729393939,0.054545455
